
#####
##### SCREEN-RESOLUTIONS
#####

# 2015-09-04,2015-12-02
Item,Value,Value Percent,Conversions,Conversion Percent,URL,Stats URL
"1461x913",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1461x913"
"598x360",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=598x360"
"320x486",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x486"
"1280x853",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1280x853"
"1229x691",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1229x691"
"360x601",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=360x601"
"732x412",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=732x412"
"601x916",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=601x916"
"2072x1165",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2072x1165"
"1484x928",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1484x928"
"1239x697",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1239x697"
"1080x1776",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1080x1776"
"505x505",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=505x505"
"975x731",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=975x731"
"361x601",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=361x601"
"1401x788",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1401x788"
"1512x850",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1512x850"
"480x801",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=480x801"
"800x480",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=800x480"
"1108x692",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1108x692"
"1371x857",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1371x857"
"1506x1205",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1506x1205"
"1422x800",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1422x800"
"800x1232",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=800x1232"
"1867x1167",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1867x1167"
"1219x975",2,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1219x975"
"1181x664",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1181x664"
"1943x1097",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1943x1097"
"3072x819",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=3072x819"
"3200x2000",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=3200x2000"
"360x555",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=360x555"
"2194x1234",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2194x1234"
"804x452",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=804x452"
"2048x819",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2048x819"
"1855x1034",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1855x1034"
"768x432",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=768x432"
"1252x783",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1252x783"
"347x347",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=347x347"
"1587x893",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1587x893"
"2277x1280",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2277x1280"
"994x559",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=994x559"
"1839x1034",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1839x1034"
"360x604",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=360x604"
"480x853",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=480x853"
"2743x1543",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2743x1543"
"1436x897",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1436x897"
"320x489",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=320x489"
"1244x778",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1244x778"
"800x564",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=800x564"
"1322x744",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1322x744"
"1273x795",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1273x795"
"3072x1728",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=3072x1728"
"1024x1366",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1024x1366"
"474x843",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=474x843"
"1645x1028",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1645x1028"
"1682x913",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1682x913"
"377x628",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=377x628"
"853x682",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=853x682"
"1417x797",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1417x797"
"1178x736",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1178x736"
"1164x698",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1164x698"
"1440x2560",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1440x2560"
"480x241",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=480x241"
"1708x960",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1708x960"
"1012x569",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1012x569"
"1603x902",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1603x902"
"1214x657",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1214x657"
"2160x1440",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=2160x1440"
"338x563",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=338x563"
"1231x692",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1231x692"
"1813x1024",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1813x1024"
"1059x596",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1059x596"
"1548x871",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1548x871"
"1219x731",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1219x731"
"601x914",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=601x914"
"1067x640",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=1067x640"
"881x495",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=881x495"
"960x720",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=960x720"
"338x601",1,0,,,"","http://clicky.com/stats/visitors?site_id=100595742&date=2015-09-04,2015-12-02&resolution=338x601"
